Solving by Dynamic Programming...
buffer: HS problem 1651 size 15 15 density  0.20
numCustomers: 15
numProducts: 15
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 
0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 
0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 
0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 
0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 
1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 
1 0 1 0 1 0 1 1 0 1 1 1 1 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 
0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 
Best Sequence: 
13 11 3 9 8 14 7 12 10 6 5 4 2 1 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 
0 0 0 0 0 1 0 1 1 1 1 0 0 1 0 
0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 
0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 
0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 
0 1 0 1 0 0 1 1 1 1 0 1 1 0 1 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 
1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 
OpenStacks: 7
Took 7.02 seconds

buffer: HS problem 1652 size 15 15 density  0.20
numCustomers: 15
numProducts: 15
0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 
0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 
0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 
1 1 0 0 1 0 0 0 0 1 0 0 1 1 0 
0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 
0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 
0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 
