HS problem 1651 size 15 15 density  0.20
15 15
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 
0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 
0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 
0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 
0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 
1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 
1 0 1 0 1 0 1 1 0 1 1 1 1 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 
0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 

HS problem 1652 size 15 15 density  0.20
15 15
0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 
0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 
0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 
1 1 0 0 1 0 0 0 0 1 0 0 1 1 0 
0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 
0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 
0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 
0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 
0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 
1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 
0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 

HS problem 1653 size 15 15 density  0.20
15 15
0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 
0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 
1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 
0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 
0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 
0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 
0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 
1 1 1 0 0 1 0 0 0 0 0 1 1 0 1 
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 
