Warwick 981: balanced orders and products, 2 products per order
20 10
 0 0 0 1 0 0 0 0 1 0
 0 1 0 0 1 0 0 0 0 0
 0 0 0 1 0 1 0 0 0 0
 0 1 0 1 0 0 0 0 0 0
 0 0 1 0 1 0 0 0 0 0
 0 0 0 0 0 0 1 0 1 0
 1 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 1 0 0 1
 0 0 1 0 0 1 0 0 0 0
 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 1 0 1 0 0 0
 0 0 1 0 0 0 0 0 0 1
 0 0 1 0 0 0 0 1 0 0
 0 1 0 0 0 0 0 1 0 0
 1 1 0 0 0 0 0 0 0 0
 0 0 0 0 1 1 0 0 0 0
 1 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 1 0 1
 0 0 0 0 0 0 1 0 0 1
 1 0 0 0 0 0 0 0 1 0

Warwick 982: balanced orders and products, 2 products per order
20 10
 1 0 0 0 0 1 0 0 0 0
 1 0 0 0 0 0 0 1 0 0
 0 0 0 0 1 0 1 0 0 0
 0 1 0 0 0 0 0 1 0 0
 0 0 1 0 0 0 0 1 0 0
 0 0 0 0 1 0 1 0 0 0
 0 0 0 0 0 0 1 0 0 1
 0 1 0 1 0 0 0 0 0 0
 0 0 1 0 1 0 0 0 0 0
 1 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 1 1
 0 1 0 0 0 0 0 0 1 0
 0 0 0 1 1 0 0 0 0 0
 0 0 0 1 0 0 0 0 1 0
 0 1 0 0 0 1 0 0 0 0
 0 0 1 0 0 1 0 0 0 0
 0 0 1 0 0 0 0 0 0 1
 0 0 0 1 0 0 0 1 0 0
 1 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 1 1

Warwick 983: balanced orders and products, 2 products per order
20 10
 0 0 0 0 0 0 0 1 0 1
 1 0 0 0 0 0 0 0 1 0
 1 0 0 0 1 0 0 0 0 0
 0 0 0 1 0 1 0 0 0 0
 0 0 0 0 1 1 0 0 0 0
 0 0 0 0 0 0 0 1 0 1
 0 0 0 0 0 0 0 1 1 0
 0 1 1 0 0 0 0 0 0 0
