Warwick 81: balanced orders and products, 2 products per order
10 10
 0 0 1 0 1 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 1
 0 1 0 0 0 0 0 0 0 1
 1 0 0 0 0 0 1 0 0 0
 0 0 0 0 1 0 0 1 0 0
 0 0 0 1 0 0 0 0 1 0
 0 0 0 1 0 0 1 0 0 0
 0 0 1 0 0 1 0 0 0 0
 1 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 1 1 0

Warwick 82: balanced orders and products, 2 products per order
10 10
 1 0 0 0 0 1 0 0 0 0
 0 1 1 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 1 0
 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 1 0 0 0 0 1
 0 0 0 1 0 0 0 1 0 0
 0 1 0 0 0 0 1 0 0 0
 1 0 0 0 0 0 1 0 0 0
 0 0 1 0 0 0 0 1 0 0
 0 0 0 1 0 0 0 0 1 0

Warwick 83: balanced orders and products, 2 products per order
10 10
 1 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 1 1 0
 0 0 0 1 0 1 0 0 0 0
 0 0 1 0 0 0 1 0 0 0
 0 0 1 0 0 0 0 1 0 0
 1 0 0 1 0 0 0 0 0 0
 0 1 0 0 1 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 0 1 0 1 0
 0 1 0 0 0 1 0 0 0 0

Warwick 84: balanced orders and products, 2 products per order
10 10
 0 0 0 0 0 1 0 1 0 0
 1 0 0 0 0 0 0 0 0 1
 0 0 1 0 0 0 0 0 0 1
 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 1 0 1 0 0 0
 1 1 0 0 0 0 0 0 0 0
 0 1 0 0 1 0 0 0 0 0
 0 0 1 0 0 0 1 0 0 0
 0 0 0 0 0 1 0 0 1 0
 0 0 0 1 0 0 0 1 0 0

Warwick 85: balanced orders and products, 2 products per order
10 10
 0 1 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 1 0 1
 0 0 0 0 1 1 0 0 0 0
 0 0 0 0 0 0 0 0 1 1
 0 0 0 1 0 0 0 1 0 0
 1 0 0 0 0 0 1 0 0 0
 1 0 0 0 1 0 0 0 0 0
 0 0 1 0 0 0 0 0 1 0
 0 0 1 0 0 1 0 0 0 0
 0 1 0 1 0 0 0 0 0 0

Warwick 86: balanced orders and products, 2 products per order
10 10
 0 0 0 0 0 1 0 0 0 1
 1 0 0 0 0 0 0 1 0 0
 0 0 1 1 0 0 0 0 0 0
 0 0 0 0 0 1 1 0 0 0
 0 0 0 1 0 0 1 0 0 0
 0 0 0 0 0 0 0 1 1 0
